cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_657	Escherichia_coli_Shigella	Escherichia_coli-KX42	92	212	0.433962	Confident
cl60_66	Escherichia_coli_Shigella	K9	1	1	1.0	Highly confident
cl60_661	Escherichia_coli_Shigella	O154	2	3	0.666667	Uncertain
cl60_663	Escherichia_coli_Shigella	O7	1	1	1.0	Highly confident
cl60_665	Escherichia_coli_Shigella	K63	39	50	0.78	Confident
cl60_667	Escherichia_coli_Shigella	O3	3	6	0.5	Uncertain
cl60_668	Escherichia_coli_Shigella	O82	4	5	0.8	Confident
cl60_672	Escherichia_coli_Shigella	Escherichia_coli-KX05	1	1	1.0	Highly confident
cl60_676	Escherichia_coli_Shigella	O53	1	1	1.0	Highly confident
cl60_677	Escherichia_coli_Shigella	Escherichia_coli-KX41	19	23	0.826087	Confident
cl60_678	Escherichia_coli_Shigella	O53	1	1	1.0	Highly confident
cl60_68	Escherichia_coli_Shigella	K35	9	11	0.818182	Confident
cl60_682	Escherichia_coli_Shigella	O23	8	8	1.0	Highly confident
cl60_683	Escherichia_coli_Shigella	O70	6	6	1.0	Highly confident
cl60_684	Escherichia_coli_Shigella	O102;O24/O56/O157;O25;O8/O9/O9a;Shigella-B18	2;4;2;2;2	26;26;26;26;26	0.0769231;0.153846;0.0769231;0.0769231;0.0769231	Uncertain;Confident;Uncertain;Uncertain;Uncertain
cl60_687	Escherichia_coli_Shigella	O18/O18ab/O18ac	2	2	1.0	Highly confident
cl60_688	Escherichia_coli_Shigella	O153/O178	48	52	0.923077	Highly confident
cl60_689	Escherichia_coli_Shigella	O105	6	6	1.0	Highly confident
cl60_690	Escherichia_coli_Shigella	O2/O50	1	1	1.0	Highly confident
cl60_691	Escherichia_coli_Shigella	O13/O129/O135	1	1	1.0	Highly confident
cl60_695	Escherichia_coli_Shigella	O96	7	7	1.0	Highly confident
